cycle_index,t_start,t_end,cycle_duration_nominal,sample_count,theta0_rad,theta_start_rad,theta_end_rad,max_abs_vel_rad_s,mean_abs_vel_rad_s,rms_vel_rad_s,mean_vel_rad_s,max_abs_delta_theta_rad,mean_abs_delta_theta_rad,rms_delta_theta_rad,ptp_theta_rad,vel_bound_rad_s,satisfy_vel_bound,angle_margin_ratio
0,1774257627.1868901,1774257627.23689,0.05,6,-0.11960267808945452,-0.11960267808945452,-0.11956470266855575,0.07392484963054224,0.04497718501881076,0.05020167270615695,0.0024176621349448176,0.0009712447925212808,0.00028180471729090845,0.00043310788430592174,0.0011009285235507177,0.9,1,0.021583217611584014
1,1774257627.23689,1774257627.28689,0.05,4,-0.11959811639921308,-0.11959811639921308,-0.11869163934947687,0.06249561588177426,0.042613759060648515,0.046081126493538856,0.029391219377564032,0.0009064770497362179,0.0003841060378471893,0.0005144377560254001,0.001082764800714231,0.9,1,0.020143934438582617
2,1774257627.28689,1774257627.33689,0.05,5,-0.1191229330523457,-0.1191229330523457,-0.11993616266466148,0.061117382136116116,0.02250028813683457,0.03219965121525014,-0.017332727684960098,0.0008132296123157801,0.000539473085229128,0.0006083272159145197,0.0008132296123157801,0.9,1,0.018071769162572887
3,1774257627.3368902,1774257627.3868902,0.05,6,-0.11935287666749667,-0.11935287666749667,-0.12001098115986546,0.12824571652497904,0.05959747572576576,0.06969544741339824,0.0012511307996970061,0.0006581044923687912,0.00032750455422150593,0.000389894734842598,0.0009289654226187077,0.9,1,0.014624544274862025
4,1774257627.3868902,1774257627.4368901,0.05,4,-0.11989655679162872,-0.11989655679162872,-0.11954728098637941,0.06191013742021488,0.04177109931329218,0.04555276363449165,0.011419369799115968,0.0007870428047229011,0.0004331351442274818,0.0005236674991007474,0.0007870428047229011,0.9,1,0.017489840104953355
5,1774257627.4368901,1774257627.48689,0.05,5,-0.11974803577342726,-0.11974803577342726,-0.11992143640173539,0.048407015143322574,0.03834297098637524,0.0400736663430938,-0.004574534437527415,0.000678468612305097,0.00026091889395958855,0.0003451395552871857,0.0008518692406132289,0.9,1,0.015077080273446598
6,1774257627.48689,1774257627.53689,0.05,5,-0.12035216786629077,-0.12035216786629077,-0.11860704142710618,0.0809331285078151,0.04136614347747793,0.0507260680871506,0.03201481280926874,0.001745126439184591,0.0009533038436477709,0.001104246102567471,0.001745126439184591,0.9,1,0.03878058753743535
7,1774257627.53689,1774257627.58689,0.05,5,-0.11936591562211417,-0.11936591562211417,-0.11946984985183266,0.062154694408469366,0.03434225672320656,0.038269207345670395,-0.003264909518971875,0.00038922573636152036,0.00019453681099242947,0.00023804140143190864,0.0006839780986588745,0.9,1,0.008649460808033785
8,1774257627.5868902,1774257627.6368902,0.05,4,-0.11940340806957907,-0.11940340806957907,-0.11812113676178027,0.3088212593835171,0.1136025350905434,0.1792414470878511,0.09227830449846802,0.0012822713077988018,0.00038818883990834885,0.000654943869682039,0.001549811050597108,0.9,1,0.02849491795108448
9,1774257627.6368902,1774257627.6868901,0.05,6,-0.11863715994492702,-0.11863715994492702,-0.1190728501347756,0.4120757097356017,0.1356577029706218,0.19662984446141224,-0.05787473536421065,0.0010907327007018686,0.0005242991568575722,0.0006539985770087207,0.0010907327007018686,0.9,1,0.02423850446004152
